[Species]	[Gender]	[Name]	[Surname]	[ID]	[Birthday]	[Birthplace]	[Job]	[Orientation]	[Role]	[Pose]	[Height/Length (cm)]	[Weight/Mass (Kg)]	[Penis/Vulva Max Size (cm)]	[Font Color]	[English/Japanese Voice]	[Characteristic]	[MBTI]	[Loves]	[Hates]	[Description]	[HP]	[AT]	[DF]	[SA]	[SD]	[SP]	[Level]	[Type]	[Hidden Power]	[Nature]	[Items]	[Moves]	[Finisher]	[Ability]	[Rare Quality]	[Enlightenment]	[Strength]	[Weakness]	[Connections]
Cyndaquil Quilava Typhlosion	Female	Matilde	Quemar	H60259177	28/11/1990	WOD, Germany, Rhineland, Nürburg	Haruna Fujisancho Bodyguard	Hetero	Switch	Bottom	184	96	88	Queasy #b71221	Jessica Madsen/Chie Nakamura	Quick tempered	ISTP	NGGGAAAAAAAHHH!!!	AAAAAGGGHHH!!!!	Black and red instead of yellow and navy, pale white eyes	78	184	78	109	85	100	85	Fire Dark	Fighting	Hardy	Iron Ball: Halves speed, heavy damage when thrown.	Eruption: (150/SA/Fire) Lower HP decreases power ~ Brightest Lariat: (50/AT/Dark) Hits 2 times, ignores stat changes ~ Heat Crash: (100/AT/Fire) Damage increased if foe is lighter ~ Fling: (?/AT/Dark) Damage and effect depends on held item	TKO: (444/AT/Dark) 1 turn charge	Flash Rainbow: If hit by (Type), boosts (Type) moves.	Brawl: Teammates get a bit stronger when there are many foes.	None	Powerful Dark type moves with STAB, and a horrifyingly strong finisher.	Not effective in teams, low bulk.	Crush: Dairou Tengoku ~ Friends: Nirvana Moksha, Cefca Pagliaccio, Flaros Overfield
Cyndaquil Quilava Typhlosion	Male			P35467529	17/04/1999																								Ground	Lonely	Flame Orb: Burns holder				Common Quality: Each teammate gets a second tiny Rare Quality that's randomized in each floor.	None			
Darkrai	Female			P26967253	21/01/1984																								Grass	Impish	Black Cloak: If held by Darkrai, Dark Void never misses	Dark Void			Blast Control: Damage the team takes from explosions is reduced. 	None			
Darumaka Darmanitan	Male			H38424255	02/05/2002																								Fire	Bashful	Absorb Bulb (): +1 SA if hit by Water Type moves ~ Luminous Moss: +1 SD if hit by Water Type Moves	Belly Drum			Notorious Fasting: The team won't take damage from hunger, but will still be unable to heal.	Zen: Form Change Enlightenment			
Deerling Sawsbuck	Female			P41328163	28/09/2000																								Bug	Timid	White Flute: Increases wild encounters				Strike Back: If anyone in the team is attacked from behind, the foe's AT and SA is lowered.	Season Leaves: Form Change Enlightenment			
Deerling Sawsbuck	Male			P25601295	08/08/2003																								Normal	Calm	Black Flute: Decreases wild encounters	Horn Leech			Leave Half: A Big Apple, Perfect Apple, Max Elixir, or Reviver Seed leave behind an Apple, Max Ether, or Tiny Reviver Seed when used. 	Season Leaves: Form Change Enlightenment			
Deino Zweilous Hydreigon	Male			P91112010	27/06/1996																								Ice	Calm	Dragon Fang: Boosts Dragon moves ~ Dragonium Z: Turns a Dragon move into Devastating Drake				Steamroll: Ignores types and abilities lowering a move's damage.	None			
Deoxys	Unknown			P33281711	28/01/2001																								Grass	Quiet	Deoxium Z: Turns Psycho Boost into Ethereal Meteor Storm	Psycho Boost			Army Of Two: If there's only one teammate, that teammate gets a big stat boost.	Meteor Forms: Form Change Enlightenment			
Dialga	Female	Kongouseki	Izanami	P13670491	??/??/????	WOL, Mystery Continent	Dimension Guard Leader	Hetero	Dom	Bottom	533	678	142	Encode Sans #51c7d9	Janice Kawaye/Shiho Kawaragi	Often lost in thought	ENTJ	Loyalty, Time Gears, Glaceons	Red Chains, Primal Reversion, Clocks		100	120	120	150	100	88	96	Steel Dragon	Bug	Adamant	Adamant Orb: Boosts Dragon and Steel type moves if held by a Dialga, grants Primal Reversion	Roar Of Time: (150/SA/Dragon) 1 Turn Recharge ~ Metal Burst (Parry/Steel) Returns 50% extra damage ~ Giga Impact (150/AT/Normal) 1 Turn Recharge ~ Dragon Breath: (60/SA/Dragon) 30% Paralysis Chance	Gravity Curvature: (190/SA/Dragon) -3 SP to all foes	Pressure: Foes use 2X PP	Mind Over Matter: Wonder tiles restore a bit of HP and heal status conditions.	Primal Reversion: Form Change Enlightenment	Disorients and cripples foes that rely on speed.	Ground types can shrug off her most powerful blows.	Brother: Shinju Izanagi ~ Friend: Samael Amphithere
Ditto	Non Binary			P30697571	24/12/1980																								Bug	Hardy	Metal Powder: +1 DF and SD if held by Ditto	Transform			Thrown Item Boost: Items thrown from the team are uncatchable and do increased damage.	None			
Dratini Dragonair Dragonite	Female			P23897958	14/07/1990																								Dark	Adamant	Carubyncle: Red gem slotted in her tail, grants eternal youth.				Small Stomach: Anyone in the team can fill up their belly with any food.	None			
Dratini Dragonair Dragonite	Male			H78817525	08/05/1992																								Ground	Impish	Adrenaline Orb: If hit by -1 AT, gives +1 SP	Outrage			Mind Over Matter: Wonder tiles restore a bit of HP and heal status conditions.	None			
Drillbur Excadrill	Male			P18597762	31/03/1970																								Psychic	Quiet	Soft Sand: Boosts Ground moves				Lonely Courage: When a Pokémon has no nearby teammates, it gets very strong.	None			
Drowzee Hypno	Male			H92574152	20/03/1995																								Fighting	Gentle	Hollow Coin: Psychic moves never miss				Tight Formation: The more team members, the lower the damage from wide-ranging moves.	None			
Druddigon	Male			H61458922	25/05/2008																								Normal	Impish	Expert Belt: Powers up super effective moves.				Rapid Bull's Eyes: Moves that hit multiple times will never miss. 	None			
Ducklett Swanna	Female			P63796728	02/06/1977																								Fairy	Calm	Fresh Bag: Holds Food				Bargain: Items can be bought at a lower price from shops in dungeons. 	None			
Duskull Dusclops Dusknoir	Male			P89844420	09/01/1976																								Steel	Relaxed	Reaper Cloth: +1 EV if held by Dusknoir				Rapid Bull's Eyes: Moves that hit multiple times will never miss. 	None			
Eevee Espeon	Female	Ai	Nonaka	P27789559	27/05/1997	WOL, Mist Continent	Magnagate Scientist	Hetero	Sub	Bottom	86	26	31	Mercury #e07be9	Kikuko Inoue/Ai Nonaka	Mischievous	ISTP	Studying, Eating, Lewding	Not Studying, Not Eating, Not Lewding	Eyes and inner ears are magenta instead of blue.	65	65	65	130	110	90	56	Psychic	Fairy	Lonely	Entercards (14): Summon long-range dungeons from ley lines using 4 cards. ~ Psychium Z: Turns a Psychic move into Shattered Psyche	Dazzling Gleam (80/SA/Psychic) Hits all foes ~ Calm Mind (Psychic) +1 SA and SD ~ Heal Bell (Normal) Heals team from status conditions ~ Noon Sun (Normal) Heals 100% HP at midday, 0% HP at midnight	Ragnarok: (300/SA/Psychic) 1 turn charge, causes Confusion.	Magic Bounce: Reflects status moves	Leap Ahead: Pokemon behind the leader can leap ahead, use a short range move, and hop back behind in one turn.	None	Great at long range support and healing, can flee with Entercards.	Without team and items, helpless.	Husband: Kosuke Toriumi
Eevee Espeon	Male			P73140339	04/07/1981																								Fire	Careful	Shiny Charm: Attracts Shiny Pokemon ~ Cologne Case: Holds Purifying Scents				Food Finder: Tiny Apples spawn much more often.	None			
Eevee Flareon	Female			P42750223	22/10/2005																								Fairy	Lax	Choice Band: +1 AT, but can only use one move				Shared Happiness: If a teammate's status condition is healed, it also heals the whole team's status conditions.	None			
Eevee Flareon	Male			P36183570	25/04/2006																								Psychic	Careful	Wide Lens: +1 AC				Squad Up: The bigger the team, the easier it becomes to recruit Pokemon.	None			
Eevee Glaceon	Female			P64607539	07/09/1979																								Steel	Adamant	Nevermelt Ice: Boosts Ice moves				Thrown Item Boost: Items thrown from the team are uncatchable and do increased damage.	None			
Eevee Glaceon	Male			P57046130	31/03/1991																								Flying	Bold	Icium Z: Turns an Ice move into Subzero Slammer				Friendly: Foes have a chance of temporarily fighting for the team. Doesn't boost recruit chance.	None			
Eevee Jolteon	Female	Remi	Toriumi	P65749259	02/08/1998	WOL, Mist Continent	Magnagate Tester	Hetero	Sub	Bottom	84	23	29	Polytone #d6c027	Jeannie Tirado/Michiyo Murase	Impetuous and silly	ESFJ	Kosuke, Kosuke, Kosuke	Other Umbreons, Espeons, Sylveons		65	65	65	110	90	130	11	Electric	Fire	Rash	Kosuke Plush: A Kosuke Plush.	Yawn (Normal) Causes Sleep after 1 turn ~ Volt Switch: (70/SA/Electric) Switches with teammate ~ Thunderbolt (90/SA/Electric) 10% Paralysis Chance ~ Hidden Power (???/60/SA)	None	Volt Absorb: Heals when hit by Electric moves	Leap Ahead: Pokemon behind the leader can leap ahead, use a short range move, and hop back behind in one turn.	None	Can sleep, paralyze, damage, and switch out in just 2 turns.	Her frailness makes that strategy less effective.	Brother: Kosuke Toriumi
Eevee Jolteon	Male	Zeus		P57416540	24/05/2003																								Psychic	Sassy	Magnet: Boosts Electric moves				Forge a Path: Consumes Belly to break down walls.	None			
Eevee Leafeon	Female			P51669987	06/02/2007																								Fairy	Careful	Shiny Leaf: Makes Humans friendly ~ Wailmer Pail: Waters berries				Unyelding Bravery: Teammates can revive once per day without using items.	None			
Eevee Leafeon	Male			P12038964	20/07/1982																								Ground	Careful	Zoom Lens: +2 Crit Chance if holder moves last				PP Siphon: Drains PP from an enemy.	None			
Eevee Sylveon	Female	Lyra	Chronos	P74872117	20/05/1986	WOL, Grass Continent	Chronos Vice-Leader	Hetero	Sub	Bottom	88	20	40	Rialto Ste'd #f731f0	Ryan Bartley/Wakana Minami	Strong willed	ENFP	Guilds, Exploration, Treasures	Outlaws, Fainting, Monster Houses		90	65	65	110	130	65	74	Fairy	Fighting	Gentle	United Scarf: Enhanced Coalition Scarf that boosts team attacks. ~ Aura Bow: Changes color based on holder's aura, +1 AT, SA, DF, SD. ~ Treasure Bag: Allows Teams to hold more than 3 items	Wish: (Normal) Restores 50% HP to weakest of the team ~ Hyper Voice (90/SA/Normal) ~ Echoed Voice (40/SA/Normal) Power increases with each use ~ Charm (Fairy) -2 AT to foe	Star Shield (100/SA/Normal) Requires Star Sword in same turn, +3 DF and SD	Cute Charm: 30% Infatuation chance on contact	Army Of Two: If there's only one teammate, that teammate gets a big stat boost.	Grand Finale: Can use multiple Finishers. If a teammate uses a Finisher, it becomes a Team Attack.	Incredible Cleric that buffs and heals, while also a great Bard with her voice moves turning Fairy type	Crippled hard by Steel types and stage hazards.	Husband: Vega Chronos ~ Friends: Sirius Chronos, Betelgeuse Chronos
Eevee Sylveon	Male			P71382850	09/11/1995			Homo																					Ghost	Relaxed	Pink Tail: Boost Fairy moves ~ Eevium Z: Turns Last Resort into Extreme Evoboost ~ Fairium Z: Turns a Fairy move into Twinkle Tackle				Notorious Healing: The rate at which HP restores naturally is sped up. 	None	Two Z-moves.		
Eevee Umbreon	Female			P81209830	22/08/1990																								Ice	Serious	Toxic Orb: Inflicts Badly Poisoned on holder ~ Time Flute: Purifies a Pokemon				XP Boost: Grants additional XP to the team when a foe is defeated.	None			
Eevee Umbreon	Male	Kosuke	Toriumi	P55876207	30/09/1995	WOL, Mist Continent	Magnagate Scientist	Bi	Dom	Top	111	29	30	Polymer #353535	Tom Bauer/Kosuke Toriumi	Strongly defiant	INTP	Magnagates, Terraforming, Mythology	Emeras, Looplets, "Elitists"	Red eyes with blue pupils,, black fur instead of navy.	65	65	65	110	130	90	59	Dark	Poison	Bold	Entercards (19): Summon long-range dungeons from ley lines using 4 cards. ~ Darkinium Z: Turns a Dark move into Black Hole Eclipse	Foul Play: (95/AT/Dark) Uses foe's AT instead of user's ~ Toxic (Poison) Badly Poisons foe ~ Assurance (60/AT/Dark) 2X power if foe has been hurt in the same turn ~ New Moon (Normal) Heals 0% HP at midday, 100% HP at midnight	Yamidakunai: (190/AT/Dark) +1 Priority	Magin Sync: Reflects status conditions	Leap Ahead: Pokemon behind the leader can leap ahead, use a short range move, and hop back behind in one turn.	None	Leaves foes intoxicated and hurt for the team to finish, and moves to the next.	Without team and items, helpless.	Wife: Ai Nonaka ~ Sister: Remi Toriumi
Eevee Vaporeon	Female			P80713401	18/11/1974																								Fairy	Lonely	Shell Bell: All damage drains 10% HP				Brawl: Teammates get a bit stronger when there are many foes.	None			
Eevee Vaporeon	Male			P70267200	31/05/1978																								Flying	Quiet	Destiny Knot: Reflects Infatuation				Sales Pitch: The team can sell items at higher price.	None			
Ekans Arbok	Male			P97774062	12/04/1983																								Ice	Mild	Grip Claw: Trap moves last longer ~ Poison Barb: Boosts Poison moves	Glare			Notorious Fasting: The team won't take damage from hunger, but will still be unable to heal.	None			
Emolga	Female			H13306547	15/11/1993																								Poison	Quiet	Magnet: Boosts Electric moves	Volt switch			Brawl: Teammates get a bit stronger when there are many foes.	None			
Emolga	Male			P72336600	11/06/1972																								Grass	Mild	Carubyncle: Red gem slotted in his belly, grants eternal youth.	Volt Switch			XP Boost: Grants additional XP to the team when a foe is defeated.	None			
Fennekin Braixen Delphox	Female			P78212224	15/09/2009										Skyler Davenport/Hitomi Ueda														Grass	Rash	Curve Band: Can redirect thrown items in mid air ~ Fashion Case: Stores Accessories				Squad Up: The bigger the team, the easier it becomes to recruit Pokemon.	None			
Fletchling Fletchinder Talonflame	Female			P49844071	29/08/1979																								Dark	Relaxed	Carubyncle: Red gem slotted in her beak, grants eternal youth. 				Narrow Focus: Moves used in corridors will never miss. 	None			
Fomantis Lurantis	Female			H16172888	28/11/2006																								Ground	Calm	Green Tea: Prevents self-inflicted statuses	Solar Blade			Wary Walk: The whole Team is immune to traps.	None			
Froakie Frogadier Greninja	Male			P25289480	21/11/1981																								Ghost	Modest	Dodge Scarf: Dodges thrown items ~ Pierce Band: Thrown items go through walls and Pokemon	Mat Block ~ Water Shuriken ~ Fog Bomb			Wary Walk: The whole Team is immune to traps.	None			
Furfrou	Female			P33542125	19/04/1989																								Dark	Lonely	Travel Trunk: Holds Outfits				Long Range Rescue: The team can rescue a Pokemon just by being in the same floor.	None			
Gastly Haunter Gengar	Male			H89989104	01/09/1974																								Fire	Modest	Black Sludge: Restores HP to Ghost types, damages others ~ Ghostium Z: Turns a Ghost move into Never Ending Nightmare ~ Spell Tag: Boosts Ghost moves	Night Shade			Rapid Bull's Eyes: Moves that hit multiple times will never miss. 	Megaevolution: Form Change Enlightenment			
Genesect	Male	Sid	Tensei	H37534090	08/02/1953	WOD, USA, Texas, Houston	Unknown	Hetero	Dom	Top	228	156	???	Xanadu #5e3b71	Andrew Russel/Kouji Ishii	Thoroughly cunning	INFJ	Money, Technology, War	Pacifism, Pokemon, Heroes		70	120	100	120	100	100	88	Bug Fighting Steel	Poison	Impish	Mugen Turbocharger: A gene splicer that exponentially increases a Mugen Gene's power. ~ Network Drive: Can turn into any Drive in exchange of 1 level. ~ Silver Powder: Boosts Bug moves	Techno Blast (120/SA/Normal) Type changes from held Drive ~ Iron Head (80/AT/Steel) 30% Flinch chance ~ Drain Punch (75/AT/Fighting) Drains 50% HP ~ Explosion (250/AT/Normal) User faints	Orbital Cannon (200/SA/Steel) Flies up 1 turn, never misses	Download: +1 AT or SA based on foe's stats	Riled Up: Boosts AT and SA once when hit by an enemy.	Silicon Gene: 2X EV	Mugen Gene master, harnesses the power of Humanity to strike down the most powerful Pokemon around with ease.	Insane and similar debuffs can check him when he's alone, and he often is.	Rival: Codd Branford
Gible Gabite Garchomp	Male	Hankari	Park	P33695810	31/07/1996	WOD, South Korea, Ulsan, Bongtaesan	Retired Nuricom League Champion	Hetero	Dom	Top	202	107	73	Duvall #44359c	Kirk Thornton/Ken Uo	Proud of its power	ISTJ	Fighting, Trainers, Ribbons	Draco Meteors, Metas, Tanking		110	130	95	80	85	100	90	Dragon Ground	Ground	Jolly	Garchompite: Grants Megaevolution ~ Groundium Z: Turns a Ground move into Tectonic Rage	Earthquake: (100/AT/Ground) 2X damage on digging foes ~ Dragon Claw (80/AT/Dragon) ~ Rock Slide (75/AT/Rock) 30% Flinch chance ~ Protect (Parry/Normal) Blocks all moves	Bogsuu (300/AT/Dragon) Fails if teammates haven't been hit before this move	Rough Skin: Hurts on contact	Steamroll: Ignores types and abilities lowering a move's damage.	Megaevolution: Form Change Enlightenment	Monstrous revenge sweeper, hurting his teammates is often a horrible idea.	Ice types can do insane damage to him... Unless Jeongi is nearby.	Girlfriend: Jeongi Park ~ Trainer: Sejun Park
Giratina	Male	Samael	Amphithere	P35779100	??/??/????	WOL, Mystery Continent	Dimension Guard Leader	Hetero	Dom	Top	703	694	139	Corben #cb1c1b	Bob Carter/Junichi Suwabe	Often scatters things	ENTP	Team Chronos, Distortion World, Sneks	Unknown		170	95	115	95	115	90	98	Ghost Dragon	Dark	Serious	Griseous Orb: Boosts Dragon and Ghost type moves if held by a Giratina, grants Origin Form. ~ Red Chain: Grants Immunity to Judgement	Shadow Force: (120/AT/Ghost) 1 turn invisibility, breaks Protect ~ Hex (65/SA/Ghost) 2X damage if user has a status condition ~ Defog (Flying) Removes weather and field hazards ~ Dragon Pulse (85/SA/Dragon)	Eternal Obscurity (200/SA/Ghost) Causes Insane	Telepathy: Immune to friendly fire	Mind Over Matter: Wonder tiles restore a bit of HP and heal status conditions.	Origin Form: Form Change Enlightenment	The ability to switch from Wall to Wallbreaker in seconds makes him a force to be reckoned with.	Unless your team has a Fairy.	Friends: Shinju Izanagi, Kongouseki Izanami
Golett Golurk	Male			H16795075	15/12/1982																								Steel	Docile	Cleanse Tag: Decreases wild encounters				Tight Formation: The more team members, the lower the damage from wide-ranging moves.	None			
Goomy Sliggoo Goodra	Male			P27590845	15/05/1993																								Fairy	Docile	Fickle Ribbon: +1 Crit, but holder cannot use same move twice				XP Boost: Grants additional XP to the team when a foe is defeated.	None			
Groudon	Male	Behemoth	Mikado	P99770697	??/??/????	WOL, Mystery Continent	Weather Guard Leader	Hetero	Switch	Top	354	996	75	Souvenir #f65439	Phillip Reich/Yoshikazu Nagano	Likes to trash about	ESTP	Unknown	Unknown		100	150	140	100	90	90	91	Ground	Rock	Docile	Red Orb: Grants Primal Reversion ~ Terra Cymbal: +1 AT and SP when held by Groudon	Precipice Blades (125/AT/Ground) ~ Rock Tomb (60/AT/Rock) -1 SP to foe ~ Lava Plume (80/SA/Fire) 30% Burn chance ~ Eruption: (150/SA/Fire) Lower HP decreases power	Volcanic Storm (400/AT/Fire Ground Rock) 1 turn charge, three types at once	Drought: Triggers Sunny Day	Small Stomach: Anyone in the team can fill up their belly with any food.	Primal Reversion: Form Change Enlightenment	A Primal Groudon using Volcanic Storm is probably the last thing you will see.	Rayquaza and other Flying type sweepers.	"Bruh": Leviathan Mikado ~ Rival: Ziz Mikado
Gurdurr	Male			P27363654	14/10/1983																								Flying	Bold	Lagging Tail: Holder moves last				Small Stomach: Anyone in the team can fill up their belly with any food.	None			
Heatmor	Male			H80823390	18/04/1981																								Psychic	Hasty	Flame Siphon: Fire Lash does 2X damage	Fire Lash			Funnel Fun: Corridors restore HP faster.	None			
Helioptile Heliolisk	Male			P20869029	18/10/1991																								Fairy	Jolly	Flashbox: Takes Pictures ~ Album: Stores Pictures	Electrify			Talent Boost: Teammates's Rare Qualities are boosted.	None			
