[Species]	[Gender]	[Name]	[Surname]	[ID]	[Birthday]	[Birthplace]	[Job]	[Orientation]	[Role]	[Pose]	[Height/Length (cm)]	[Weight/Mass (Kg)]	[Penis/Vulva Max Size (cm)]	[Font Color]	[English/Japanese Voice]	[Characteristic]	[MBTI]	[Loves]	[Hates]	[Description]	[HP]	[AT]	[DF]	[SA]	[SD]	[SP]	[Level]	[Type]	[Hidden Power]	[Nature]	[Items]	[Moves]	[Finisher]	[Ability]	[Rare Quality]	[Enlightenment]	[Strength]	[Weakness]	[Connections]
Buzzwole	Unknown			98432349	14/01/2000																								Grass	Naive					Evasive Rhythm: The team can dodge multi hit attacks much easier.	None			
Celebi	Female			22189436	06/07/1991																								Ghost	Sassy					Funnel Fun: Corridors restore HP faster.	None			
Charmander Charmeleon Charizard	Female			98361684	29/07/1981																								Dragon	Naughty					Wary Walk: The whole Team is immune to traps.	Megaevolution: Form Change Enlightenment			
Chatot	Male			71964340	22/08/1996																								Ground	Serious		Confide			Friendly: Foes have a chance of temporarily fighting for the team. Doesn't boost recruit chance.	None			
Chespin Quilladin Chesnaught	Male			44331636	21/08/1999																								Steel	Naughty					Strike Back: If anyone in the team is attacked from behind, the foe's AT and SA is lowered.	None			
Chikorita Bayleef Meganium	Female			21751527	01/07/1986																								Poison	Hasty					Squad Up: The bigger the team, the easier it becomes to recruit Pokemon.	None			
Chimchar Monferno Infernape	Male			76148546	25/10/1986																								Dark	Naughty					Link Boost: The power of linked moves is boosted.	None			
Cobalion	Male			11317376	17/01/2008																								Ghost	Modest		Sacred Sword			Narrow Focus: Moves used in corridors will never miss. 	None			
Conkeldurr	Male			41145933	13/06/1996																								Water	Timid					Riled Up: Boosts AT and SA once when hit by an enemy.	None			
Cresselia	Female			74332662	17/07/1973																								Fighting	Calm		Lunar Dance			Small Stomach: Anyone in the team can fill up their belly with any food.	None			
Cubone Marowak (Alola)	Male			86300610	09/07/2008																								Psychic	Rash	Rare Bone	Shadow Bone ~ Knock Off ~ Fling: (???/AT/Dark) Damage and effect depends on held item	None		Brawl: Teammates get a bit stronger when there are many foes.	None			
Cubone Marowak	Female	Awan	Eden	52431933	09/12/1996	WOL, Air Continent	Eden Enforcer	Hetero	Dom	Top	99	44	23	Dutch #cebc7c	Chisa Suganuma/Ayumi Fujimura	Highly persistant	INTJ	Parents, Elderly, Her Skull	Children, Morse Code, Curses		60	88	110	50	80	44	75	Ground	Ice	Lax	Bone Meal: A bonemerang that can convert food from meat to fruit, and viceversa.	Bonemerang (50/AT/Ground) Hits 2 times, bypasses Flying type ~ Bone Club (65/AT/Ground) 10% Flinch Chance ~ Bone Rush (25/AT/Ground) Hits 2-5 times ~ Stone Edge (100/AT/Rock) +1 Crit Chance	None	Rock Head: Immune to recoil	Small Stomach: Anyone in the team can fill up their belly with any food.	None			
Cutiefly Ribombee	Female			39056760	13/03/1979																								Electric	Bold					Shared Happiness: If a teammate's status condition is healed, it also heals the whole team's status conditions.	None			
Cyndaquil Quilava Typhlosion	Female	Matilde	Quemar	60259177	28/11/1990	WOD, Germany, Rhineland, Nürburg	Haruna Fujisancho Bodyguard	Hetero	Switch	Switch	184	96	88	Queasy #b71221	Jessica Madsen/Chie Nakamura	Quick tempered	ISTP	NGGGAAAAAAAHHH!!!	AAAAAGGGHHH!!!!	Black and red instead of yellow and navy, pale white eyes, Gemini tattoo on right arm.	78	184	78	109	85	100	85	Fire Dark	Fighting	Hardy	Iron Ball: Halves speed, heavy damage when thrown.	Eruption: (150/SA/Fire) Lower HP decreases power ~ Brightest Lariat: (50/AT/Dark) Hits 2 times, ignores stat changes ~ Heat Crash: (100/AT/Fire) Damage increased if foe is lighter ~ Fling: (?/AT/Dark) Damage and effect depends on held item	TKO: (400/AT/Dark) 1 turn charge	Flash Rainbow: If hit by (Type), boosts (Type) moves.	Brawl: Teammates get a bit stronger when there are many foes.	None	Powerful Dark type moves with STAB, and a horrifyingly strong finisher.	Not effective in teams, low bulk.	Crush: Dairou Tengoku ~ Roommates: Nirvana Moksha, Cefca Pagliaccio, Flaros Overfield
Cyndaquil Quilava Typhlosion	Male			35467529	26/04/2001																								Ground	Lonely					Common Quality: Each teammate gets a second tiny Rare Quality that's randomized in each floor.	None			
Darkrai	Female			26967253	21/01/1984																								Grass	Impish		Dark Void			Blast Control: Damage the team takes from explosions is reduced. 	None			
Darumaka Darmanitan	Male			38424255	02/05/2002																								Fire	Bashful		Belly Drum			Notorious Fasting: The team won't take damage from hunger, but will still be unable to heal.	Zen: Form Change Enlightenment			
Deerling Sawsbuck	Female			41328163	28/09/2000																								Bug	Timid					Strike Back: If anyone in the team is attacked from behind, the foe's AT and SA is lowered.	Season Leaves: Form Change Enlightenment			
Deerling Sawsbuck	Male			25601295	08/08/2003																								Normal	Calm		Horn Leech			Leave Half: A Big Apple, Perfect Apple, Max Elixir, or Reviver Seed leave behind an Apple, Max Ether, or Tiny Reviver Seed when used. 	Season Leaves: Form Change Enlightenment			
Deino Zweilous Hydreigon	Male			91112010	27/06/1996																								Normal	Calm					Steamroll: Ignores types and abilities lowering a move's damage.	None			
Deoxys	Unknown			33281711	28/01/2001																								Grass	Adamant		Psycho Boost			Army Of Two: If there's only one teammate, that teammate gets a big stat boost.	Meteor Forms: Form Change Enlightenment			
Dialga	Female	Kongouseki	Izanami	13670491	??/??/????	WOL, Mystery Continent	Dimension Guard	Hetero	Switch	Top	533	678	142	Encode Sans #51c7d9	Janice Kawaye/Shiho Kawaragi	Often lost in thought	ENTJ	Shinju, Time Gears, Glaceons	Red Chains, Primal Reversion, Clocks		100	120	120	150	100	88	96	Steel Dragon	Bug	Quiet	Time Gear Statue: Grants Primal Reversion if Time Gears are nearby. ~ Adamant Orb: Boosts Dragon and Steel type moves if held by a Dialga.	Roar Of Time: (150/SA/Dragon) 1 Turn Recharge ~ Metal Burst (Parry/Steel) Returns 50% extra damage ~ Giga Impact (150/AT/Normal) 1 Turn Recharge ~ Dragon Breath: (60/SA/Dragon) 30% Paralysis Chance	Gravity Curvature: (190/SA/Dragon) -3 SP to all foes	Pressure: Foes use 2X PP	Thrown Item Boost: Items thrown from the team are uncatchable and do increased damage.	Primal Reversion: Form Change Enlightenment			
Ditto	Non Binary			30697571	24/12/1980																								Bug	Hardy		Transform			Mind Over Matter: Wonder tiles restore a bit of HP and heal status conditions.	None			
Dratini Dragonair Dragonite	Female			23897958	14/07/1990																								Dark	Adamant					Small Stomach: Anyone in the team can fill up their belly with any food.	None			
Dratini Dragonair Dragonite	Male			78817525	08/05/1992																								Ground	Impish		Outrage			Mind Over Matter: Wonder tiles restore a bit of HP and heal status conditions.	None			
Drillbur Excadrill	Male			18597762	31/03/1970																								Psychic	Quiet					Lonely Courage: When a Pokémon has no nearby teammates, it gets very strong.	None			
Drowzee Hypno	Male			92574152	20/03/1995																								Fighting	Gentle					Tight Formation: The more team members, the lower the damage from wide-ranging moves.	None			
Druddigon	Male			61458922	25/05/2008																								Normal	Impish					Rapid Bull's Eyes: Moves that hit multiple times will never miss. 	None			
Ducklett Swanna	Female			63796728	02/06/1977																								Fairy	Calm					Bargain: Items can be bought at a lower price from shops in dungeons. 	None			
Duskull Dusclops Dusknoir	Male			89844420	09/01/1976																								Steel	Relaxed					Rapid Bull's Eyes: Moves that hit multiple times will never miss. 	None			
Eevee Espeon	Female	Ai	Nonaka	27789559	27/05/1997	WOL, Mist Continent	Magnagate Scientist	Hetero	Sub	Bottom	86	26	31	Mercury #e07be9	Kikuko Inoue/Ai Nonaka	Mischievous	ISTP	Studying, Eating, Lewding	Not Studying, Not Eating, Not Lewding	Eyes and inner ears are magenta instead of blue.	65	65	65	130	110	90	56	Psychic	Fairy	Lonely	Entercards (14): Summon long-range dungeons from ley lines using 4 cards.	Dazzling Gleam (80/SA/Psychic) Hits all foes ~ Calm Mind (Psychic) +1 SA and SD ~ Heal Bell (Normal) Heals team from status conditions ~ Noon Sun (Normal) Heals 100% HP at midday, 0% HP at midnight	Ragnarok: (300/SA/Psychic) 1 turn charge, causes Confusion.	Magic Bounce: Reflects status moves	Sales Pitch: The team can sell items at higher price.	None	Great at long range support and healing, can flee with Entercards.	Without team and items, helpless.	Husband: Kosuke Toriumi
Eevee Espeon	Male			73140339	04/07/1981																								Fire	Careful					Food Finder: Tiny Apples spawn much more often.	None			
Eevee Flareon	Female			42750223	22/10/2005																								Fairy	Lax					Shared Happiness: If a teammate's status condition is healed, it also heals the whole team's status conditions.	None			
Eevee Flareon	Male			36183570	25/04/2006																								Psychic	Jolly					Squad Up: The bigger the team, the easier it becomes to recruit Pokemon.	None			
Eevee Glaceon	Female			64607539	07/09/1979																								Steel	Adamant					Thrown Item Boost: Items thrown from the team are uncatchable and do increased damage.	None			
Eevee Glaceon	Male			57046130	31/03/1991																								Flying	Bold					Friendly: Foes have a chance of temporarily fighting for the team. Doesn't boost recruit chance.	None			
Eevee Jolteon	Female	Remi	Toriumi	65749259	02/08/1998	WOL, Mist Continent	Magnagate Tester	Hetero	Sub	Bottom	84	23	29	Polytone #d6c027	Jeannie Tirado/Michiyo Murase	Impetuous and silly	ESFJ	Kosuke, Kosuke, Kosuke	Other Umbreons, Espeons, Sylveons		65	65	65	110	90	130	11	Electric	Fire	Careful	Kosuke Plush: A Kosuke plush.	Yawn (Normal) Causes Sleep after 1 turn ~ Volt Switch: (70/SA/Electric) Switches with teammate ~ Thunderbolt (90/SA/Electric) 10% Paralysis Chance ~ Hidden Power (???/60/SA)	None	Volt Absorb: Heals when hit by Electric moves	Long Range Rescue: The team can rescue a Pokemon just by being in the same floor.	None			
Eevee Jolteon	Male			57416540	24/05/2003																								Psychic	Sassy					Forge a Path: Consumes Belly to break down walls.	None			
Eevee Leafeon	Female			51669987	06/02/2007																								Dark	Careful					Unyelding Bravery: Teammates can revive once per day without using items.	None			
Eevee Leafeon	Male			12038964	20/07/1982																								Ground	Rash					PP Siphon: Drains PP from an enemy.	None			
Eevee Sylveon	Female	Lyra	Chronos	74872117	20/05/1986	WOL, Grass Continent	Chronos Vice-Leader	Hetero	Sub	Bottom	88	20	40	Rialto Ste'd #f731f0	Ryan Bartley/Wakana Minami	Strong willed	ENFP	Vega, Exploration, Treasures	Eve, Fainting, Monster Houses		90	65	65	110	130	65	74	Fairy	Ice	Gentle	United Scarf: Enhanced Coalition Scarf that boosts team attacks. ~ White Space Gear: A supercharged Space Gear that increases the range of moves.	Wish: (Normal) Restores 50% HP to weakest of the team ~ Hyper Voice (90/SA/Normal) ~ Echoed Voice (40/SA/Normal) Power increases with each use ~ Charm (Fairy) -2 AT to foe	Star Shield (100/SA/Normal) Requires Star Sword in same turn, +3 DF and SD	Cute Charm: 30% Infatuation chance on contact	Evasive Rhythm: The team can dodge multi hit attacks much easier.	Grand Finale: If a teammate uses a Finisher, it becomes a Team Attack			
Eevee Sylveon	Male			71382850	09/11/1995																								Ghost	Relaxed					Notorious Healing: The rate at which HP restores naturally is sped up. 	None			
Eevee Umbreon	Female			81209830	22/08/1990																								Ice	Serious					XP Boost: Grants additional XP to the team when a foe is defeated.	None			
Eevee Umbreon	Male	Kosuke	Toriumi	55876207	30/09/1995	WOL, Mist Continent	Magnagate Scientist	Bi	Dom	Top	111	29	30	Polymer #353535	Tom Bauer/Kosuke Toriumi	Strongly defiant	INTP	Ai, Magnagates, Terraforming	Emeras, Looplets, "Elitists"	Red eyes with blue pupils, yellow stripes are pale, black fur instead of navy.	65	65	65	110	130	90	59	Dark	Poison	Bold	Entercards (19): Summon long-range dungeons from ley lines using 4 cards.	Foul Play: (95/AT/Dark) Uses foe's AT instead of user's ~ Toxic (Poison) Badly Poisons foe ~ Assurance (60/AT/Dark) 2X power if foe has been hurt in the same turn ~ New Moon (Normal) Heals 0% HP at midday, 100% HP at midnight	Yamidakunai: (190/AT/Dark) +1 Priority	Magin Sync: Reflects status conditions	Brawl: Teammates get a bit stronger when there are many foes.	None	Leaves foes intoxicated and hurt for the team to finish, and moves to the next.	Without team and items, helpless.	Wife: Ai Nonaka
Eevee Vaporeon	Female			80713401	18/11/1974																								Fairy	Lonely					Leap Ahead: Pokemon behind the leader can leap ahead, use a short range move, and hop back behind in one turn.	None			
Eevee Vaporeon	Male			70267200	31/05/1978																								Flying	Quiet					Leap Ahead: Pokemon behind the leader can leap ahead, use a short range move, and hop back behind in one turn.	None			
Ekans Arbok	Male			97774062	12/04/1983																								Ice	Mild		Glare			Notorious Fasting: The team won't take damage from hunger, but will still be unable to heal.	None			
Emolga	Female			13306547	15/11/1993																								Ice	Quiet		Volt switch			Brawl: Teammates get a bit stronger when there are many foes.	None			
Emolga	Male			72336600	11/06/1972																								Grass	Mild		Volt Switch			XP Boost: Grants additional XP to the team when a foe is defeated.	None			
Fennekin Braixen Delphox	Female			78212224	15/09/2010																								Grass	Rash					Squad Up: The bigger the team, the easier it becomes to recruit Pokemon.	None			
Fletchling Fletchinder Talonflame	Female			49844071	29/08/1979																								Dark	Relaxed					Narrow Focus: Moves used in corridors will never miss. 	None			
Fomantis Lurantis	Female			16172888	28/11/2006																								Ground	Naive		Solar Blade			Wary Walk: The whole Team is immune to traps.	None			
Froakie Frogadier Greninja	Male			25289480	21/11/1981																								Ghost	Modest		Mat Block ~ Water Shuriken ~ Fog Bomb			Wary Walk: The whole Team is immune to traps.	None			
Furfrou	Female			33542125	19/04/1989																								Dark	Lonely					Leap Ahead: Pokemon behind the leader can leap ahead, use a short range move, and hop back behind in one turn.	None			
Gastly Haunter Gengar	Male			89989104	01/09/1974																								Fire	Modest		Night Shade			Rapid Bull's Eyes: Moves that hit multiple times will never miss. 	Megaevolution: Form Change Enlightenment			
Genesect	Male	Sid	Tensei	37534090	08/02/2008	WOD, Texas, Houston	Fugitive	Unknown	Unknown	Unknown	228	156	Unknown	Xanadu #5e3b71	Andrew Russel/Kouji Ishii	Thoroughly cunning	INFJ	Money, Technology, War	Pacifism, Pokemon, Codd		70	120	100	120	100	100	88	Bug Fighting Steel	Poison	Impish	Mugen Turbocharger: A gene splicer that exponentially increases a Mugen Gene's power. ~ Network Drive: Can turn into any Drive in exchange of 1 level.	Techno Blast (120/SA/Normal) Type changes from held Drive ~ Iron Head (80/AT/Steel) 30% Flinch chance ~ Drain Punch (75/AT/Fighting) Drains 50% HP ~ Explosion (250/AT/Normal) User faints	Orbital Cannon (200/SA/Steel) Flies up 1 turn, never misses	Download: +1 AT or SA based on foe's stats	XP Boost: Grants additional XP to the team when a foe is defeated.	Silicon Gene: 2X EV			
Gible Gabite Garchomp	Male	Hankari	Park	33695810	31/07/2006	WOD, South Korea, Ulsan, Bongtaesan	Retired Nuricom League Champion	Hetero	Dom	Top	202	107	73	Duvall #44359c	Kirk Thornton/Ken Uo	Proud of its power	ISTJ	Fighting, Trainers, Jeongi	Draco Meteors, Metas, Stalling		110	130	95	80	85	100	90	Dragon Ground	Ground	Careful	Garchompite: Grants Megaevolution	Earthquake: (100/AT/Ground) 2X damage on digging foes ~ Dragon Claw (80/AT/Dragon) ~ Rock Slide (75/AT/Rock) 30% Flinch chance ~ Protect (Parry/Normal) Blocks all moves	Bogsuu (300/AT/Dragon) Fails if teammates haven't been hit before this move	Rough Skin: Hurts on contact	Thrown Item Boost: Items thrown from the team are uncatchable and do increased damage.	Megaevolution: Form Change Enlightenment			
Giratina	Male	Samael	Amphithere	35779100	27/04/1988	WOL, Mystery Continent	Dimension Guard	Hetero	Dom	Switch	703	694	139	Corben #cb1c1b	Bob Carter/Junichi Suwabe	Often scatters things	ENTP	Nirvana, Vega, Lyra	Unknown		170	95	115	95	115	90	98	Ghost Dragon	Fairy	Docile	Chaos Gear Statue: Grants Primal Reversion if Chaos Gears are nearby. ~ Griseous Orb: Boosts Dragon and Ghost type moves if held by a Giratina, grants Origin form.	Shadow Force: (120/AT/Ghost) 1 turn invisibility, breaks Protect ~ Hex (65/SA/Ghost) 2X damage if user has a status condition ~ Defog (Flying) Removes weather and field hazards ~ Dragon Pulse (85/SA/Dragon)	Eternal Obscurity (200/SA/Ghost) Causes Insane	Telepathy: Immune to friendly fire	Bargain: Items can be bought at a lower price from shops in dungeons. 	Primal Origin: Form Change Enlightenment			
Golett Golurk	Male			16795075	15/12/1982																								Steel	Docile					Tight Formation: The more team members, the lower the damage from wide-ranging moves.	None			
Goomy Sliggoo Goodra	Male			27590845	15/05/1993																								Fairy	Serious					Riled Up: Boosts AT and SA once when hit by an enemy.	None			
Groudon	Male	Behemoth	Mikado	99770697	01/10/2010	WOL, Mystery Continent	Weather Guard	Hetero	Dom	Bottom	354	996	75	Souvenir #f65439	Phillip Reich/Yoshikazu Nagano	Likes to trash about	ESTP	Leviathan, Lailona, Heat	Ziz, Cavum, Other Groudons		100	150	140	100	90	90	91	Ground	Grass	Docile	Red Orb: Grants Primal Reversion 	Precipice Blades (125/AT/Ground) ~ Rock Tomb (60/AT/Rock) -1 SP to foe ~ Lava Plume (80/SA/Fire) 30% Burn chance ~ Eruption: (150/SA/Fire) Lower HP decreases power	Volcanic Storm (400/AT/Fire Ground Rock) 1 turn charge, three types at once	Drought: Triggers Sunny Day	Small Stomach: Anyone in the team can fill up their belly with any food.	Primal Reversion: Form Change Enlightenment			
Gurdurr	Male			27363654	14/10/1983																								Flying	Bold					Recoil Boost: Moves that recoil do 2X damage.	None			
Heatmor	Male			80823390	18/04/1981																								Psychic	Hasty		Fire Lash			Funnel Fun: Corridors restore HP faster.	None			
Helioptile Heliolisk	Male			20869029	18/10/1991																								Fairy	Jolly		Electrify			Talent Boost: Teammates's Rare Qualities are boosted.	None			
Ho-Oh	Female	Fenhuang	Estrus	13225966	17/06/2006	WOL, Mystery Continent	WOD Sky Guard Leader	Hetero	Sub	Bottom	320	144	115	Kyma #f69b16	Cindy Robinson/Miyuki Sawashiro	Somewhat vain	ESFJ	Ryuujin, Humans, Lewds	Unknown		110	130	95	110	155	90	92	Fire Flying	Ice	Hasty	Gold Erhu: Triggers War Haze when played.	Sacred Fire (100/AT/Fire) 50% Burn chance ~ Recover (Normal) Heals 50% HP ~ Defog (Flying) Removes weather and field hazards ~ Brave Bird (130/AT/Flying) 33% Recoil	Phoenix Shine (Fire) Requires War Haze, fully revives user if fainted	Regenerator: Heals 33% HP when switching out	Bargain: Items can be bought at a lower price from shops in dungeons. 	War Haze: +1 AT and SA every turn			
Igglybuff Jigglypuff Wigglytuff	Male			81438841	15/01/1991																								Water	Modest		Sing ~ Rest ~ Sleep Talk ~ 			Blast Control: Damage the team takes from explosions is reduced. 	None			
Jangmo-o Hakamo-o Kommo-o	Male			63665378	16/01/1984																								Fire	Quirky		Clanging Scales ~ Clangorous Soul			Narrow Focus: Moves used in corridors will never miss. 	None			
Jirachi	Female			95478305	27/02/2009																								Electric	Modest		Doom Desire			Steamroll: Ignores types and abilities lowering a move's damage.	Nitrogen Gene: 2X AC			
Joltik Galvantula	Male			13722937	12/08/1977																								Steel	Timid		Electroweb			Squad Up: The bigger the team, the easier it becomes to recruit Pokemon.	None			
Joltik Galvantula	Female			63046529	11/08/2006																								Poison	Bashful		Electroweb			Notorious Restoration: Items restore more HP and Belly.	None			
Kartana	Unknown			84265650	23/03/1971																								Steel	Impish					Squeeze Out: The whole team can squeeze extra PP once per battle.	None			
Keldeo	Male	Lewis	Kelpie	52656156	11/01/1977	WOD, UK, Scotland, Edinburgh	Arms Dealer	Bi	Sub	Top	137	42	60	Helvetica Neue #6de7e9	Landon McDonald/Atsushi Abe	Highly curious	ENFJ	Pokemon, Dairou, Tsutami	Sid, Fainting, Sleeping		91	71	91	131	91	111	99	Water Fighting	Fairy	Naive	Justice Emblem: Allows the holder to perform Team Attacks when alone, by summoning another Pokemon's spirit.	Sacred Sword (90/AT/Fighting) Ignores stat changes ~ Secret Sword (85/SA/Fighting) Uses foe's DF instead of SD ~ Scald (80/SA/Water) 30% Burn chance ~ Hydro Pump (110/SA/Water)	One For All (Fighting) Doubles power of moves with Sword in the name	Justified: +1 AT if hit by Dark move	Funnel Fun: Corridors restore HP faster.	Resolution: Form Change Enlightenment			
Kyogre	Male	Leviathan	Mikado	11020341	12/03/1994	WOL, Mystery Continent	Weather Guard	Hetero	Dom	Bottom	488	360	87	Classica #0935c8	Peter Beckman/Kenta Miyake	Very finicky	ESTP	Behemoth, Peahina, Cold	Ziz, Cavum, Other Kyogres		100	100	90	150	140	90	91	Water	Poison	Brave	Blue Orb: Grants Primal Reversion	Origin Pulse (110/SA/Water) ~ Liquidation (85/AT/Water) 20% chance -1 DF to foe ~ Ice Beam (90/SA/Ice) 10% Freeze chance ~ Water Spout (150/SA/Water) Lower HP Decreases Power	Torrential Flood (400/SA/Water Electric Ice) 1 turn charge, three types at once	Drizzle: Triggers Rain Dance	Link Boost: The power of linked moves is boosted.	Primal Reversion: Form Change Enlightenment			
Kyurem	Unknown	Wuji	Zettairedo	87437405	17/08/1984	WOL, Mystery Continent	Mystery Continent Dungeon Keeper	Unknown	Unknown	Unknown	301	324	132	Bodoni #8db8dd	Dave Fennoy/Mitsuru Ogata	Likes to trash about	INFJ	Shiro, Kuro, Himself	Human Weapons, Fluctus, Senpu		130	135	90	130	90	95	99	Dragon Ice	Rock	Calm	DNA Splicer: A wedge that can fuse a Kyurem with a Reshiram or a Zekrom.	Glaciate (65/SA/Ice) -1 SP to foe ~ Scary Face (Normal) -2 SP to foe ~ Ice Beam (90/SA/Ice) 10% Freeze chance ~ Roost (Flying) Heals 50% HP, removes Levitate	Frozen Blood (Ice) 50% OHKO chance	Pressure: Foes use 2X PP	Evasive Rhythm: The team can dodge multi hit attacks much easier.	Fusion: Form Change Enlightenment			
Lapras	Female			27328982	05/08/1970																								Normal	Brave					Mind Over Matter: Wonder tiles restore a bit of HP and heal status conditions.	None			
Larvesta Volcarona	Female			67755572	01/10/1981																								Rock	Jolly		Fiery Dance (kirbu?)			Notorious Fasting: The team won't take damage from hunger, but will still be unable to heal.	None			
Larvitar Pupitar Tyranitar	Male			72793150	06/03/2004																								Water	Rash					Thrown Item Boost: Items thrown from the team are uncatchable and do increased damage.	Megaevolution: Form Change Enlightenment			
Latias	Female	Floras	Overfield	15067769	15/06/2000	WOD, Italy, Lombardy, Monza	Weapon	Bi	Sub	Switch	129	33	64	Onryu #ebbe1d	Lisa Ortiz/Kazuna Sayaka	Impetuous and silly	INFP	Nothing: Generated AI	Nothing: Generated AI		70	90	100	110	130	150	12	Dragon Psychic Fire	Bug	Brave	None	Calm Mind (Psychic) +1 SA and SD ~ Mist Ball (70/SA/Psychic) 50% Chance -1 SA to foe ~ Stored Power (20/SA/Psychic) +20 with each stat boost ~ Roost (Flying) Heals 50% HP, removes Levitate	None	Levitate: Immune to Ground Type	PP Siphon: Drains PP from an enemy.	Megaevolution: Form Change Enlightenment			
Latios	Male	Flaros	Overfield	95287268	09/09/1998	WOD, Italy, Lombardy, Pavia	Haruna Fujisancho Administrator	Bi	Dom	Switch	211	64	66	Hakidame #1100f5	Steven Ogg/Take Tora	Alert to sounds	INTP	Friends, Affection, Games	Himself, Himself, Himself		70	100	90	130	110	150	14	Dragon Psychic Fire	Dragon	Hasty	Roselily: A parting gift. Grants Immunity to Insane	Calm Mind (Psychic) +1 SA and SD ~ Luster Purge (70/SA/Psychic) 50% Chance -1 SD to foe ~ Stored Power (20/SA/Psychic) +20 with each stat boost ~ Roost (Flying) Heals 50% HP, removes Levitate	Burnout (200/SA/Fire) Burns user, foes, and even teammates	Levitate: Immune to Ground Type	PP Siphon: Drains PP from an enemy.	Megaevolution: Form Change Enlightenment			Trainer: Jiyu Einni
Lillipup Herdier Stoutland	Male			11155524	05/02/1993																								Fairy	Naughty					Lonely Courage: When a Pokémon has no nearby teammates, it gets very strong.	None			
