[Species]	[Gender]	[Name]	[Surname]	[ID]	[Birthday]	[Birthplace]	[Job]	[Orientation]	[Role]	[Pose]	[Height/Length (cm)]	[Weight/Mass (Kg)]	[Penis/Vulva Max Size (cm)]	[Font Color]	[English/Japanese Voice]	[Characteristic]	[MBTI]	[Loves]	[Hates]	[Description]	[HP]	[AT]	[DF]	[SA]	[SD]	[SP]	[Level]	[Type]	[Hidden Power]	[Nature]	[Items]	[Moves]	[Finisher]	[Ability]	[Rare Quality]	[Enlightenment]	[Strength]	[Weakness]	[Connections]
Buzzwole	Unknown			98432349	14/01/2000																								Grass	Naive					Evasive Rhythm: The team can dodge multi hit attacks much easier.				
Celebi	Female			22189436	06/07/1991																								Ghost	Sassy					Funnel Fun: Corridors restore HP faster.				
Charmander Charmeleon Charizard	Female			98361684	29/07/1981																								Dragon	Naughty					Wary Walk: The whole Team is immune to traps.				
Chatot	Male			71964340	22/08/1996																								Ground	Serious					Friendly: Foes have a chance of temporarily fighting for the team. Doesn't boost recruit chance.				
Chespin Quilladin Chesnaught	Male			44331636	21/08/1999																								Steel	Naughty					Strike Back: If anyone in the team is attacked from behind, the foe's AT and SA is lowered.				
Chikorita Bayleef Meganium	Female			21751527	01/07/1986																								Poison	Hasty					Squad Up: The bigger the team, the easier it becomes to recruit Pokemon.				
Chimchar Monferno Infernape	Male			76148546	25/10/1986																								Dark	Naughty					Link Boost: The power of linked moves is boosted.				
Cobalion	Male			11317376	17/01/2008																								Ghost	Modest					Narrow Focus: Moves used in corridors will never miss. 				
Conkeldurr	Male			41145933	13/06/1996																								Water	Timid					Riled Up: Boosts AT and SA once when hit by an enemy.				
Cresselia	Female			74332662	17/07/1973																								Fighting	Calm					Small Stomach: Anyone in the team can fill up their belly with any food.				
Cubone Marowak (Alola)	Male			86300610	09/07/2008																								Psychic	Rash					Brawl: Teammates get a bit stronger when there are many foes.				
Cubone Marowak	Female	Awan	Eden	52431933	09/12/1996	WOL, Air Continent	Eden Enforcer	Hetero	Dom	Top	99	44	23	Dutch #cebc7c	Chisa Suganuma/Ayumi Fujimura	Highly persistant	INTJ	Parents, Elderly, Her Skull	Children, Morse Code, Curses		60	88	110	50	80	44		Ground	Ice	Lax	Bone Meal: A bonemerang that can convert food from meat to fruit, and viceversa.				Small Stomach: Anyone in the team can fill up their belly with any food.				
Cutiefly Ribombee	Female			39056760	13/03/1979																								Electric	Bold					Shared Happiness: If a teammate's status condition is healed, it also heals the whole team's status conditions.				
Cyndaquil Quilava Typhlosion	Female	Matilde	Quemar	60259177	28/11/1990	WOD, Germany, Rhineland, Nürburg	Haruna Fujisancho Bodyguard	Hetero	Switch	Switch	184	96	88	Queasy #b71221	Jessica Madsen/Chie Nakamura	Quick tempered	ISTP	NGGGAAAAAAAHHH!!!	AAAAAGGGHHH!!!!	Black and red instead of yellow and navy, pale white eyes, Gemini tattoo on right arm.	78	184	78	109	85	100	86	Fire Dark	Fighting	Hardy	Iron Ball: Halves speed, heavy damage when thrown.	Eruption: (150/SA/Fire) Lower HP decreases power ~ Brightest Lariat: (50/AT/Dark) Hits 2 times, ignores stat changes ~ Heat Crash: (100/AT/Fire) Damage increased if foe is lighter ~ Fling: (?/AT/Dark) Damage and effect depends on held item	TKO: (400/AT/Dark) 1 turn charge	Flash Rainbow: If hit by (Type), boosts (Type) moves.	Brawl: Teammates get a bit stronger when there are many foes.	None	Powerful Dark type moves with STAB, and a horrifyingly strong finisher.	Not effective in teams, low bulk.	Crush: Dairou Tengoku ~ Roommates: Nirvana Moksha, Cefca Pagliaccio, Flaros Overfield
Cyndaquil Quilava Typhlosion	Male			35467529	26/04/2001																								Ground	Lonely					Common Quality: Each teammate gets a second tiny Rare Quality that's randomized in each floor.				
Darkrai	Female			26967253	21/01/1984																								Grass	Impish					Blast Control: Damage the team takes from explosions is reduced. 				
Darumaka Darmanitan	Male			38424255	02/05/2002																								Fire	Bashful					Notorious Fasting: The team won't take damage from hunger, but will still be unable to heal.				
Deerling Sawsbuck	Female			41328163	28/09/2000																								Bug	Timid					Strike Back: If anyone in the team is attacked from behind, the foe's AT and SA is lowered.				
Deerling Sawsbuck	Male			25601295	08/08/2003																								Normal	Calm					Leave Half: A Big Apple, Perfect Apple, Max Elixir, or Reviver Seed leave behind an Apple, Max Ether, or Tiny Reviver Seed when used. 				
Deino Zweilous Hydreigon	Male			91112010	27/06/1996																								Normal	Calm					Steamroll: Ignores types and abilities lowering a move's damage.				
Deoxys	Unknown			33281711	28/01/2001																								Grass	Adamant					Army Of Two: If there's only one teammate, that teammate gets a big stat boost.				
Dialga	Female	Kongouseki	Izanami	13670491	??/??/????	WOL, Mystery Continent	Dimension Guard	Hetero	Switch	Top	533	678	142	Encode Sans #51c7d9	Janice Kawaye/Shiho Kawaragi	Often lost in thought	ENTJ	Shinju, Time Gears, Glaceons	Red Chains, Primal Reversion, Clocks		100	120	120	150	100	88		Steel Dragon	Bug	Quiet	Time Gear Statue: Grants Primal Reversion if Time Gears are nearby. ~ Adamant Orb: Boosts Dragon and Steel type moves if held by a Dialga.				Thrown Item Boost: Items thrown from the team are uncatchable and do increased damage.				
Ditto	Non Binary			30697571	24/12/1980																								Bug	Hardy					Mind Over Matter: Wonder tiles restore a bit of HP and heal status conditions.				
Dratini Dragonair Dragonite	Female			23897958	14/07/1990																								Dark	Adamant					Small Stomach: Anyone in the team can fill up their belly with any food.				
Dratini Dragonair Dragonite	Male			78817525	08/05/1992																								Ground	Impish					Mind Over Matter: Wonder tiles restore a bit of HP and heal status conditions.				
Drillbur Excadrill	Male			18597762	31/03/1970																								Psychic	Quiet					Lonely Courage: When a Pokémon has no nearby teammates, it gets very strong.				
Drowzee Hypno	Male			92574152	20/03/1995																								Fighting	Gentle					Tight Formation: The more team members, the lower the damage from wide-ranging moves.				
Druddigon	Male			61458922	25/05/2008																								Normal	Impish					Rapid Bull's Eyes: Moves that hit multiple times will never miss. 				
Ducklett Swanna	Female			63796728	02/06/1977																								Fairy	Calm					Bargain: Items can be bought at a lower price from shops in dungeons. 				
Duskull Dusclops Dusknoir	Male			89844420	09/01/1976																								Steel	Relaxed					Rapid Bull's Eyes: Moves that hit multiple times will never miss. 				
Eevee Espeon	Female	Ai	Nonaka	27789559	27/05/1997	WOL, Mist Continent	Magnagate Scientist	Hetero	Sub	Bottom	86	26	31	Mercury #e07be9	Kikuko Inoue/Ai Nonaka	Mischievous	ISTP	Studying, Eating, Lewding	Not Studying, Not Eating, Not Lewding	Eyes and inner ears are magenta instead of blue.	65	65	65	130	110	90	66	Psychic	Fairy	Lonely	Entercards (14): Summon long-range dungeons from ley lines using 4 cards.	Dazzling Gleam (80/SA/Psychic) Hits all foes ~ Calm Mind (Psychic) +1 SA and SD ~ Heal Bell (Normal) Heals team from status conditions ~ Noon Sun (Normal) Heals 100% HP at midday, 0% HP at midnight	Ragnarok: (300/SA/Psychic) 1 turn charge, causes Confusion.	Magic Bounce: Reflects status moves	Sales Pitch: The team can sell items at higher price.	None	Great at long range support and healing, can flee with Entercards.	Without team and items, helpless.	Husband: Kosuke Toriumi
Eevee Espeon	Male			73140339	04/07/1981																								Fire	Careful					Food Finder: Tiny Apples spawn much more often.				
Eevee Flareon	Female			42750223	22/10/2005																								Fairy	Lax					Shared Happiness: If a teammate's status condition is healed, it also heals the whole team's status conditions.				
Eevee Flareon	Male			36183570	25/04/2006																								Psychic	Jolly					Squad Up: The bigger the team, the easier it becomes to recruit Pokemon.				
Eevee Glaceon	Female			64607539	07/09/1979																								Steel	Adamant					Thrown Item Boost: Items thrown from the team are uncatchable and do increased damage.				
Eevee Glaceon	Male			57046130	31/03/1991																								Flying	Bold					Friendly: Foes have a chance of temporarily fighting for the team. Doesn't boost recruit chance.				
Eevee Jolteon	Female	Remi	Toriumi	65749259	02/08/1998	WOL, Mist Continent	Magnagate Tester	Hetero	Sub	Bottom	84	23	29	Polytone #d6c027	Jeannie Tirado/Michiyo Murase	Impetuous and silly	ESFJ	Kosuke, Kosuke, Kosuke	Other Umbreons, Espeons, Sylveons		65	65	65	110	90	130		Electric	Fire	Careful	Kosuke Plush: A Kosuke plush. Has a suction cup at the bottom...				Long Range Rescue: The team can rescue a Pokemon just by being in the same floor.				
Eevee Jolteon	Male			57416540	24/05/2003																								Psychic	Sassy					Forge a Path: Consumes Belly to break down walls.				
Eevee Leafeon	Female			51669987	06/02/2007																								Dark	Careful					Unyelding Bravery: Teammates can revive once per day without using items.				
Eevee Leafeon	Male			12038964	20/07/1982																								Ground	Rash					PP Siphon: Drains PP from an enemy.				
Eevee Sylveon	Female	Lyra	Chronos	74872117	20/05/1986	WOL, Grass Continent	Chronos Vice-Leader	Hetero	Sub	Bottom	88	20	40	Rialto Ste'd #f731f0	Ryan Bartley/Wakana Minami	Strong willed	ENFP	Vega, Exploration, Treasures	Eve, Fainting, Monster Houses		90	65	65	110	130	65		Fairy	Ice	Gentle	United Scarf: Enhanced Coalition Scarf that boosts team attacks. ~ White Space Gear: A supercharged Space Gear that increases the range of moves.				Evasive Rhythm: The team can dodge multi hit attacks much easier.				
Eevee Sylveon	Male			71382850	09/11/1995																								Ghost	Relaxed					Notorious Healing: The rate at which HP restores naturally is sped up. 				
Eevee Umbreon	Female			81209830	22/08/1990																								Ice	Serious					XP Boost: Grants additional XP to the team when a foe is defeated.				
Eevee Umbreon	Male	Kosuke	Toriumi	55876207	30/09/1995	WOL, Mist Continent	Magnagate Scientist	Bi	Dom	Top	111	29	30	Polymer #353535	Tom Bauer/Kosuke Toriumi	Strongly defiant	INTP	Ai, Magnagates, Terraforming	Emeras, Looplets, "Elitists"	Red eyes with blue pupils, yellow stripes are pale, black fur instead of navy.	65	65	65	110	130	90	70	Dark	Fairy	Bold	Entercards (19): Summon long-range dungeons from ley lines using 4 cards.	Foul Play: (95/AT/Dark) Uses foe's AT instead of user's ~ Toxic (Poison) Badly poisons foe ~ Assurance (60/AT/Dark) Double power if foe has been hurt in the same turn ~ New Moon (Normal) Heals 0% HP at midday, 100% HP at midnight	Yamidakunai: (190/AT/Dark) +1 Priority	Magin Sync: Reflects status conditions	Brawl: Teammates get a bit stronger when there are many foes.	None	Leaves foes intoxicated and hurt for the team to finish, and moves to the next.	Without team and items, helpless.	Wife: Ai Nonaka
Eevee Vaporeon	Female			80713401	18/11/1974																								Fairy	Lonely					Leap Ahead: Pokemon behind the leader can leap ahead, use a short range move, and hop back behind in one turn.				
Eevee Vaporeon	Male			70267200	31/05/1978																								Flying	Quiet					Leap Ahead: Pokemon behind the leader can leap ahead, use a short range move, and hop back behind in one turn.				
Ekans Arbok	Male			97774062	12/04/1983																								Ice	Mild					Notorious Fasting: The team won't take damage from hunger, but will still be unable to heal.				
Emolga	Female			13306547	15/11/1993																								Ice	Quiet					Brawl: Teammates get a bit stronger when there are many foes.				
Emolga	Male			72336600	11/06/1972																								Grass	Mild					XP Boost: Grants additional XP to the team when a foe is defeated.				
Fennekin Braixen Delphox	Female			78212224	15/09/2010																								Grass	Rash					Squad Up: The bigger the team, the easier it becomes to recruit Pokemon.				
Fletchling Fletchinder Talonflame	Female			49844071	29/08/1979																								Dark	Relaxed					Narrow Focus: Moves used in corridors will never miss. 				
Fomantis Lurantis	Female			16172888	28/11/2006																								Ground	Naive					Wary Walk: The whole Team is immune to traps.				
Froakie Frogadier Greninja	Male			25289480	21/11/1981																								Ghost	Modest					Wary Walk: The whole Team is immune to traps.				
Furfrou	Female			33542125	19/04/1989																								Dark	Lonely					Leap Ahead: Pokemon behind the leader can leap ahead, use a short range move, and hop back behind in one turn.				
Gastly Haunter Gengar	Male			89989104	01/09/1974																								Fire	Modest					Rapid Bull's Eyes: Moves that hit multiple times will never miss. 				
Genesect	Male	Sid	Tensei	37534090	08/02/2008	WOD, Texas, Houston	Fugitive	Unknown	Unknown	Unknown	228	156	Unknown	Xanadu #5e3b71	Andrew Russel/Kouji Ishii	Thoroughly cunning	INFJ	Money, Technology, War	Pacifism, Pokemon, Codd		70	120	100	120	100	100		Bug Fighting Steel	Poison	Impish	Mugen Turbocharger: A gene splicer that exponentially increases a Mugen Gene's power, except the Violence Gene.				XP Boost: Grants additional XP to the team when a foe is defeated.				
Gible Gabite Garchomp	Male	Hankari	Park	33695810	31/07/2006	WOD, South Korea, Ulsan, Bongtaesan	Retired Nuricom League Champion	Hetero	Dom	Top	202	107	73	Duvall #44359c	Kirk Thornton/Ken Uo	Proud of its power	ISTJ	Fighting, Trainers, Jeongi	Draco Meteors, Metas, Stalling		110	130	95	80	85	100		Dragon Ground	Ground	Careful	Garchompite: Grants Megaevolution				Thrown Item Boost: Items thrown from the team are uncatchable and do increased damage.				
Giratina	Male	Samael	Amphithere	35779100	27/04/1988	WOL, Mystery Continent	Dimension Guard	Hetero	Dom	Switch	703	694	139	Corben #cb1c1b	Bob Carter/Junichi Suwabe	Often scatters things	ENTP	Nirvana, Vega, Lyra	Unknown		170	95	115	95	115	90		Ghost Dragon	Fairy	Docile	Chaos Gear Statue: Grants Primal Reversion if Chaos Gears are nearby. ~ Griseous Orb: Boosts Dragon and Ghost type moves if held by a Giratina.				Bargain: Items can be bought at a lower price from shops in dungeons. 				
Golett Golurk	Male			16795075	15/12/1982																								Steel	Docile					Tight Formation: The more team members, the lower the damage from wide-ranging moves.				
Goomy Sliggoo Goodra	Male			27590845	15/05/1993																								Poison	Serious					Riled Up: Boosts AT and SA once when hit by an enemy.				
Groudon	Male	Behemoth	Mikado	99770697	01/10/2010	WOL, Mystery Continent	Weather Guard	Hetero	Dom	Bottom	354	996	75	Souvenir #f65439	Phillip Reich/Yoshikazu Nagano	Likes to trash about	ESTP	Leviathan, Lailona, Heat	Ziz, Cavum, Other Groudons		100	150	140	100	90	90		Ground	Grass	Docile	Red Orb: Grants Primal Reversion 				Small Stomach: Anyone in the team can fill up their belly with any food.				
Gurdurr	Male			27363654	14/10/1983																								Flying	Bold					Recoil Boost: Moves that recoil do 2X damage.				
Heatmor	Male			80823390	18/04/1981																								Psychic	Hasty					Funnel Fun: Corridors restore HP faster.				
Helioptile Heliolisk	Male			20869029	18/10/1991																								Fairy	Jolly					Talent Boost: Teammates's Rare Qualities are boosted.				
Ho-Oh	Female	Fenhuang	Estrus	13225966	17/06/2006	WOL, Mystery Continent	WOD Sky Guard Leader	Hetero	Sub	Bottom	320	144	115	Kyma #f69b16	Cindy Robinson/Miyuki Sawashiro	Somewhat vain	ESFJ	Ryuujin, Humans, Lewds	Unknown		110	130	95	110	155	90		Fire Flying	Ice	Hasty	Gold Erhu: Triggers War Shine when played.				Bargain: Items can be bought at a lower price from shops in dungeons. 				
Igglybuff Jigglypuff Wigglytuff	Male			81438841	15/01/1991																								Water	Modest					Blast Control: Damage the team takes from explosions is reduced. 				
Jangmo-o Hakamo-o Kommo-o	Male			63665378	16/01/1984																								Fire	Quirky					Narrow Focus: Moves used in corridors will never miss. 				
Jirachi	Female			95478305	27/02/2009																								Electric	Modest					Steamroll: Ignores types and abilities lowering a move's damage.				
Joltik Galvantula	Male			13722937	12/08/1977																								Steel	Timid					Squad Up: The bigger the team, the easier it becomes to recruit Pokemon.				
Joltik Galvantula	Female			63046529	11/08/2006																								Poison	Bashful					Notorious Restoration: Items restore more HP and Belly.				
Kartana	Unknown			84265650	23/03/1971																								Steel	Impish					Squeeze Out: The whole team can squeeze extra PP once per battle.				
Keldeo	Male	Lewis	Kelpie	52656156	11/01/1977	WOD, UK, Scotland, Edinburgh	Arms Dealer	Bi	Sub	Top	137	42	60	Helvetica Neue #6de7e9	Landon McDonald/Atsushi Abe	Highly curious	ENFJ	Pokemon, Dairou, Tsutami	Sid, Fainting, Sleeping		91	71	91	131	91	111		Water Fighting	Fairy	Naive	Justice Emblem: Allows the holder to perform Team Attacks when alone, by summoning another Pokemon's spirit.				Funnel Fun: Corridors restore HP faster.				
Kyogre	Male	Leviathan	Mikado	11020341	12/03/1994	WOL, Mystery Continent	Weather Guard	Hetero	Dom	Bottom	488	360	87	Classica #0935c8	Peter Beckman/Kenta Miyake	Very finicky	ESTP	Behemoth, Peahina, Cold	Ziz, Cavum, Other Kyogres		100	100	90	150	140	90		Water	Poison	Brave	Blue Orb: Grants Primal Reversion				Link Boost: The power of linked moves is boosted.				
Kyurem	Unknown	Wuji	Zettairedo	87437405	17/08/1984	WOL, Mystery Continent	Mystery Continent Dungeon Keeper	Unknown	Unknown	Unknown	301	324	132	Bodoni #8db8dd	Dave Fennoy/Mitsuru Ogata	Likes to trash about	INFJ	Shiro, Kuro, Himself	Human Weapons, Fluctus, Senpu		130	135	90	130	90	95		Dragon Ice	Rock	Calm	DNA Splicer: A wedge that can fuse a Kyurem with a Reshiram or a Zekrom.				Evasive Rhythm: The team can dodge multi hit attacks much easier.				
Lapras	Female			27328982	05/08/1970																								Normal	Brave					Mind Over Matter: Wonder tiles restore a bit of HP and heal status conditions.				
Larvesta Volcarona	Female			67755572	01/10/1981																								Rock	Jolly					Notorious Fasting: The team won't take damage from hunger, but will still be unable to heal.				
Larvitar Pupitar Tyranitar	Male			72793150	06/03/2004																								Water	Rash					Thrown Item Boost: Items thrown from the team are uncatchable and do increased damage.				
Latias	Female	Floras	Overfield	15067769	15/06/2000	WOD, Italy, Lombardy, Monza	Weapon	Bi	Sub	Switch	129	33	64	Onryu #ebbe1d	Lisa Ortiz/Kazuna Sayaka	Impetuous and silly	INFP	Nothing: Generated AI	Nothing: Generated AI		70	90	100	110	130	150		Dragon Psychic Fire	Bug	Brave	None				PP Siphon: Drains PP from an enemy.				
Latios	Male	Flaros	Overfield	95287268	09/09/1998	WOD, Italy, Lombardy, Pavia	Haruna Fujisancho Administrator	Bi	Dom	Switch	211	64	66	Hakidame #1100f5	Steven Ogg/Take Tora	Alert to sounds	INTP	Friends, Affection, Games	Himself, Himself, Himself		70	100	90	130	110	150		Dragon Psychic Fire	Dragon	Hasty	Roselily: A parting gift for Kyou. If the holder dies instead of fainting, Kyou is summoned.				PP Siphon: Drains PP from an enemy.				Trainer: Jiyu Einni
Lillipup Herdier Stoutland	Male			11155524	05/02/1993																								Fairy	Naughty					Lonely Courage: When a Pokémon has no nearby teammates, it gets very strong.				
Litten Torracat Incineroar	Female			40573995	11/01/2007																								Poison	Naughty					Small Stomach: Anyone in the team can fill up their belly with any food.				
Litwick Lampent Chandelure	Male			13132009	20/11/1979																								Electric	Careful					Forge a Path: Consumes Belly to break down walls.				
Lugia	Male	Ryuujin	Estrus	22204428	01/07/1953	WOL, Mystery Continent	WOD Ocean Guard Leader	Bi	Dom	Switch	600	341	204	Criticized #a8bde2	Christopher Bevins/Toru Okawa	Somewhat stubborn	ESFP	Fenhuang, Humans, Lewds	Unknown		105	90	130	90	155	110		Psychic Flying	Rock	Calm	Silver Koto: Triggers War Mist when played.				Blast Control: Damage the team takes from explosions is reduced. 				
Lunala	Female	Peahina	Houkuu	33139627	07/05/1996	WOL, Mystery Continent	Ultra Wormhole Guard	Hetero	Sub	Bottom	395	117	100	Sabor #6434c4	Xanthe Huynh/Ai Kayano	Thoroughly cunning	ISFJ	Leviathan, Nights, Cavum	Lailona, Space, Ultra Beasts		137	117	87	137	107	97		Psychic Ghost Ice	Bug	Bashful	N-Solarizer: A machine to separate a Necrozma from a Solgaleo.				Collective Strike: All teammates have the same speed stat as the fastest teammate.				
Mareep Flaaffy Ampharos	Male			92037653	24/09/1985																								Electric	Hardy					Tight Formation: The more team members, the lower the damage from wide-ranging moves.				
Mareep Flaaffy Ampharos	Female			58051660	14/05/1972																								Ground	Docile					Friendly: Foes have a chance of temporarily fighting for the team. Doesn't boost recruit chance.				
Marshadow	Male	Jake	Northstar	96433531	26/01/2006	WOD, USA, Illinois, Chicago	Martial Arts Trainer	Unknown	Unknown	Unknown	60	22	Unknown	Samdan #262c29		Likes to run	ISTP	Codd, Fighting, Anime	Ghost Types, Fighting Types, Normal Types		90	120	90	90	90	120		Fighting Ghost	Electric	Bold	Life Orb: Drains HP to power up moves. ~ Expert Belt: Powers up super effective moves.				PP Siphon: Drains PP from an enemy.				
Mawile	Female			96487310	26/10/1998																								Water	Sassy					Squeeze Out: The whole team can squeeze extra PP once per battle.				
Meditite Medicham	Female			14564578	28/01/2004																								Water	Quirky					Narrow Focus: Moves used in corridors will never miss. 				
Meloetta	Female			80867638	04/04/1979																								Flying	Sassy					Friendly: Foes have a chance of temporarily fighting for the team. Doesn't boost recruit chance.				
Mew	Both?	Libidine	Ludibrium	14378192	07/09/1991	WOL, Unknown	Geneticist	Bi	Switch	Switch	36	3	Unknown	MV Boli #e79cd1	Skyler Davenport/Hitomi Ueda	Loves to eat	ESFP	Lewds, Genetics, Mewtwos	Being asked by someone to change gender		100	100	100	100	100	100		Psychic	Poison	Gentle	Mewnium Z: Turns Psychic into Genesis Supernova. ~ Leftovers: Slowly restores HP.				Blast Control: Damage the team takes from explosions is reduced. 				
Mewtwo	Female	Myuuichi	Jikken	21773830	26/01/1978	WOD, Unknown	Gene Tester	Hetero	Sub	Bottom	200	122	Unknown	Galaxy #7b3fac	Brittney Lee Harvey/Yukana Nogami	Likes to fight	ESTJ	Libidine, Myuurei, Special Moves	Physical Moves, Females, Humans		100	140	140	120	120	100		Psychic Fairy	Water	Quirky	Mewtwonite Y: Grants Megaevolution Y				Link Boost: The power of linked moves is boosted.				
Mewtwo	Male	Myuurei	Jikken	61543177	09/09/1983	WOD, Unknown	Gene Tester	Hetero	Dom	Top	200	122	Unknown	Fusion #644380	Erik Kimerer/Masaya Fukunishi	Hates to lose	ENTP	Libidine, Myuuichi, Physical Moves	Special Moves, Males, Humans		100	120	120	140	140	100		Psychic Fighting	Ground	Bold	Mewtwonite X: Grants Megaevolution X				Tight Formation: The more team members, the lower the damage from wide-ranging moves.				
Mienfoo Mienshao	Female	Sheng	Zhandou	37472737	08/12/1984	WOD, China, Hebei, Beijing	Vice-President of Nuricom Alliance	Hetero	Sub	Switch	138	31	40	Parmapetit #f3f1a3	Jessica Straus/Eri Kitamura	A little quick tempered	ENTJ	Codd, Fighting, Nuricom Alliance	Codd, Fighting, Nuricom Alliance		60	130	60	90	60	110		Fighting 	Fighting	Rash	Assault Vest: Boosts SD, but can only use damaging moves.				Small Stomach: Anyone in the team can fill up their belly with any food.				
Mienfoo Mienshao	Male			26334516	24/01/2004																								Electric	Bold					Riled Up: Boosts AT and SA once when hit by an enemy.				
Milotic	Female			38765662	04/03/2001																								Grass	Careful					Strike Back: If anyone in the team is attacked from behind, the foe's AT and SA is lowered.				
Milotic	Male			25364044	17/06/1986																								Psychic	Gentle					PP Siphon: Drains PP from an enemy.				
Minccino Cinccino	Male			69719590	20/09/1973																								Dragon	Timid					Recoil Boost: Moves that recoil do 2X damage.				
Minccino Cinccino	Female			28327960	31/07/1985																								Flying	Hardy					Squeeze Out: The whole team can squeeze extra PP once per battle.				
Minun	Male			91514131	21/11/2000																								Fighting	Impish					Notorious Healing: The rate at which HP restores naturally is sped up. 				
Mudkip Marshtomp Swampert	Male			21678907	12/04/2009																								Poison	Jolly					Shared Happiness: If a teammate's status condition is healed, it also heals the whole team's status conditions.				
Munna Musharna	Female			35398788	10/02/1999																								Ground	Relaxed					Sales Pitch: The team can sell items at higher price.				
Necrozma	Unknown	Cavum	Nirum	18633327	29/07/1988	WOL, Unknown	Nuricom Alliance Guard	Unknown	Unknown	Unknown	244	244	Unknown	Segoe #d5d5d5	Travis Willingham/Hiroki Yasumoto	Often lost in thought	ENTJ	Codd, Space, Loyalty	Jake, Ultra Beasts, Betrayal		117	117	117	117	117	117		Psychic Dark	Fire	Mild	Ultranecrozium Z: Grants Ultra Burst, and turns Photon Geyser into Light That Burns The Sky.				Funnel Fun: Corridors restore HP faster.				
Nidoran Nidorina Nidoqueen	Female			35891921	31/05/1983																								Dragon	Hardy					Steamroll: Ignores types and abilities lowering a move's damage.				
Nidoran Nidorino Nidoking	Male			16451106	05/03/1976																								Rock	Calm					Thrown Item Boost: Items thrown from the team are uncatchable and do increased damage.				
Nihilego	Unknown			11137896	04/12/1998																								Fairy	Serious					Evasive Rhythm: The team can dodge multi hit attacks much easier.				
